Player,Games Played,Win Rate,Kills/game,Deaths/game,Assists/game,CSM,GPM,EXPM,DPM,VSM,Objectives Stolen
Frod0 Swaggins,TOP,Win,5,9,2,295,16299,19640,28988,25,0
1 eve 4 dogs,JUNGLE,Win,10,7,7,31,15048,16261,23606,32,0
Maaksu,MIDDLE,Win,13,8,7,170,15062,17784,37583,19,0
who has slained,BOTTOM,Win,4,2,13,230,14450,15877,22470,44,0
UZI1,UTILITY,Win,3,5,15,29,10005,12560,9307,82,0
bozoBo,TOP,Fail,3,4,13,124,10248,15165,18066,22,0
TheRoonster,JUNGLE,Fail,17,8,3,113,19839,18030,58115,8,0
Meryamun,MIDDLE,Fail,10,12,10,182,14570,17441,31426,25,0
Lussuoso,BOTTOM,Fail,1,4,7,304,13697,16364,24352,9,0
Mister ChipShaft,UTILITY,Fail,0,7,14,23,7945,15054,8726,61,0
